#
#
#
# 13..107.253.70/32	# 13.107.253.70/32	## minecraft realm? # microsoft service?
# 185..008.106.138/23	# 185.8.106.138/23	## UAB Cherry Lith # ASN
# 66..225.192.0/18	# 66.225.192.0/18	## defthosting WATCH
003.014.071.143/32	3.14.71.143/32	## some game
003.079.031.108/32	3.79.31.108/32	## some game
004.157.241.195/32	4.157.241.195/32	## minecraft realm :30106
013.090.255.195/32	13.90.255.195/32	## minecraft realm 
013.092.185.156/32	13.92.185.156/32	## minecraft realm
013.092.252.140/32	13.92.252.140/32	## minecraft?
020.186.008.49/32	20.186.8.49/32	## minecraft?
023.026.245.0/24	23.26.245.0/24	## Latitude-sh ## US-redwoodcity
023.227.128.0/19	23.227.128.0/19	## 24shells ## US
023.249.172.0/24	23.249.172.0/24	## M247 EU ## US-NewYork # M247
031.013.188.0/22	31.13.188.0/22	## M247 ## US-SanFran # 
031.222.254.0/24	31.222.254.0/24	## packethub ## US-SLC # NordVPN
037.120.128.0/19	37.120.128.0/19	## M247 ## US-NewYork # nord vpn 128-159
037.120.192.0/19	37.120.192.0/19	## M247 ## US-NewYork # 192 223
037.120.244.0/22	37.120.244.0/22	## M247EU ## various # ProtonVPN
038.132.096.0/19	38.132.96.0/19	## M247 ## various # various
038.132.105.0/24	38.132.105.0/24	## Cogent ## US-NewYork # M247
038.143.066.0/24	38.143.66.0/24	## Cogent ## US-Seattle #
040.071.174.11/32	40.71.174.11/32	## minecraft?
040.123.044.26/32	40.123.44.26/32	## minecraft?
045.056.192.0/21	45.56.192.0/21	## CloudIP ## EU # hotspot shield
045.152.180.0/24	45.152.180.0/24	## M247 ## US-Newyork # nord vpn
046.037.116.0/24	46.37.116.0/24	## M247 EU ## US-NewYork # M247
052.138.103.59/32	52.138.103.59/32	## minecraft?
052.186.079.106/32	52.186.79.106/32	## minecraft? :30121
052.191.117.253/32	52.191.117.253/32	## minecraft realm? # microsoft service?
063.141.048.0/20	63.141.48.0/20	## Cloud IP
063.246.135.0/24	63.246.135.0/24	## Latitude
064.040.156.0/24	64.40.156.0/24	## Latitude-sh ## US-LA
066.023.200.0/21	66.23.200.0/21	## ZoogVPN ## US-Chigaco ### port 18851
069.050.092.0/22	69.50.92.0/22	## GTHost ## US-Denver # shock vpn
078.031.205.0/24	78.31.205.0/24	## M247 EU ## US-NewYork # M247
083.136.182.0/24	83.136.182.0/24	## Dedipath ## US-Den # NordVPN
084.016.240.0/24	84.16.240.0/24	## leaseweb
084.032.095.0/24	84.32.95.0/24	## latitude sus
086.038.032.0/24	86.38.32.0/24	## latitude sus
087.249.132.0/21	87.249.132.0/21	## ProtonVPN ## Datacamp
089.046.062.0/24	89.46.62.0/24	## M247 ## US # Mullvad
089.116.154.0/24	89.116.154.0/24	## Latitude-sh ## US-NewYork
089.116.158.0/24	89.116.158.0/24	## Latitude-sh ## US-NewYork
089.116.218.0/24	89.116.218.0/24	## Latitude-sh ## US-NewYork
089.116.253.0/24	89.116.253.0/24	## Latitude-sh ## US-LA
089.117.101.0/24	89.117.101.0/24	## Latitude-sh ## US-LA
089.117.254.0/24	89.117.254.0/24	## Latitude-sh ## US-NewYork # hotspot shield
089.249.203.0/24	89.249.203.0/24	## M247 ## US-NewYork # nordvpn
102.129.248.0/21	102.129.248.0/21	## Latitude-sh ## US-NewYork
103.111.032.0/23	103.111.32.0/23	## M247 ## US-Woodside # hotspotshield
104.209.140.047	104.209.140.47	## minecraft?
104.232.036.0/23	104.232.36.0/23	## M247 EU / Latitude ## Kaz / US-LA # M247
104.234.000.0/16	104.234.0.0/16	## Velcom ## Various # Various
104.243.212.0/22	104.243.212.0/22	## M247 EU ## US-NewYork # M247
104.243.215.0/24	104.243.215.0/24	## M247 EU ## US-NewYork # M247
128.116.000.0/17	128.116.0.0/17	## ROBLOX
130.195.216.0/22	130.195.216.0/22	## M247 EU ## Various # M247
134.195.196.0/22	134.195.196.0/22	## GTHost ## CA-Toronto
138.199.021.0/24	138.199.21.0/24	## ProtonVPN ## tokyo
139.028.216.0/24	139.28.216.0/24	## M247 ## US-LA # nord vpn
139.064.164.0/22	139.64.164.0/22	## GTHost ## US-Denver
141.011.018.0/24	141.11.18.0/24	## M247 ## US-NewYork # ?
143.244.044.0/24	143.244.44.0/24	## ProtonVPN
146.070.000.0/16	146.70.0.0/16	## M247 ## various # various
146.070.063.0/24	146.70.63.0/24	## M247 EU ## US-NewYork # M247
146.070.195.0/24	146.70.195.0/24	## M247 ## US-LA # M247
149.022.000.0/16	149.22.0.0/16	## Cogent ## Many # many vpn
149.040.061.0/23	149.40.61.0/23	## IPVanish VPN
149.088.000.0/17	149.88.0.0/17	## Cogent ## Many # many vpn
149.088.016.0/20	149.88.16.0/20	## PsiNetInc ## US/CA # nord vpn
149.102.000.0/16	149.102.0.0/16	## Cogent ## Many # many vpn
156.146.048.0/23	156.146.48.0/23	## Datacamp ## cyberghost
158.051.120.0/22	158.51.120.0/22	## GTHost ## CA-Montreal # ???
162.251.164.0/22	162.251.164.0/22	## dedicated.com ? eh?
162.255.045.0/24	162.255.45.0/24	## Latitude-sh ## US-NewYork
169.197.140.0/22	169.197.140.0/22	## GTHost ## US-Seattle # 169.197.143.222
172.191.092.116	172.191.92.116	## minecraft?
178.211.159.0/24	178.211.159.0/24	## M247 EU ## US-NewYork # M247
184.174.005.0/24	184.174.5.0/24	## CoLo America ## US-LA # M247
185.208.152.0/22	185.208.152.0/22	## Wired ISP
185.230.126.0/24	185.230.126.0/24	## M247 ## US-LA # proton vpn
190.002.155.0/24	190.2.155.0/24	## Proton worldstream
192.064.080.0/21	192.64.80.0/21	## interserver
192.119.008.0/21	192.119.8.0/21	## 24 Shells ## US-Piscataway #
192.119.160.0/20	192.119.160.0/20	## M247 ## US-LA # hotspotshield
193.239.087.0/24	193.239.87.0/24	## M247 ## US-NewYork # nord vpn
194.034.105.0/24	194.34.105.0/24	## Latitude-sh ## US-NewYork
195.206.104.0/21	195.206.104.0/21	## M247 ## EU # nord vpn
198.145.224.0/20	198.145.224.0/20	## various ## various # M247
204.014.072.0/21	204.14.72.0/21	## CloudIP ## EU # hotspot shield
209.205.192.0/19	209.205.192.0/19	## 24 Shells ## US-Piscataway #
212.046.033.0/24	212.46.33.0/24	## Latitude-sh ## US-NewYork
216.039.248.0/22	216.39.248.0/22	## GTHost ## US-Chicago # shock vpn
217.020.118.0/24	217.20.118.0/24	## leaseweb
217.138.198.0/24	217.138.198.0/24	## M247 ## US-NewYork # nord vpn
